Code,MI,NMI,NCIE,QG,QM,SSIM,Qs_Piella,Qw_Piella,Qe_Piella,Yang,PSNR,EN,AG,SD,ALI,CC,VIF
01,2.767235204504752,0.3949199529801055,0.8057120706537292,0.5182180806536077,0.9470627001158395,0.3056897065165445,0.581359636844013,0.6885262842255472,0.3842190564420697,0.7701302798910545,5.224598390831392,7.064507251302362,0.013755411509178122,0.1792746340513467,0.6242511336493509,0.31427454015105216,0.7378837797017515
02,3.706384729386242,0.5003786657431333,0.8139668978671091,0.6693964201605217,0.9634441248904723,0.4721988475125522,0.7091481573445568,0.7922070173487502,0.2891173302712649,0.928293538265478,5.719518843271626,7.4898127142781,0.0227805093673199,0.19971717418344156,0.6807437849633488,0.4704879594279269,0.8526780779396561
03,3.211191129922579,0.4500543302051109,0.8077926042103547,0.6061456300884158,0.9457252148903973,0.4152048226567889,0.7407131524792974,0.7581550784083342,0.2319318510467981,0.8540327428937181,4.586763724631334,7.221623598278974,0.019056304064348717,0.17281566171219231,0.6710425283394609,0.42020243940559726,0.8467514914597645
04,2.239096879668214,0.3303850253964894,0.8045450126760849,0.6171330374510081,0.9504433593303759,0.4038772554336439,0.7626350704852604,0.7632617580105221,0.26830538167932355,0.8313110214220283,5.750242321398213,6.742311442944153,0.02148556383121233,0.11827720447386833,0.555261913069626,0.440185878419769,0.9229714891689781
05,3.2384570698211927,0.4380518254197808,0.808311360918074,0.7340643205994288,0.9798405705582676,0.43337680380708415,0.7524268682544826,0.861817355221328,0.540568139720717,0.8647267605839166,7.431288621925176,7.661072291163213,0.025038800631852265,0.2505203278812237,0.34652801120448185,0.44268227880546146,0.9133469857753388
06,1.7221503930009785,0.2531210833684926,0.8033123662077448,0.3776693028919301,0.9719295384276221,0.4119986182586241,0.5276067451390749,0.5857600493515676,0.11698288308947477,0.7903200201589932,8.873160906692757,6.824179303107378,0.01766618726577671,0.12400367549345272,0.37203050388118625,0.4308771500571625,0.6630685674527304
07,3.1210861989071947,0.41339301032282405,0.8091682538444018,0.41113251520660254,0.9191896003515512,0.5011546533153375,0.6098511444952616,0.5037108005018024,0.20793170678572404,0.7422762759924513,7.205455565843495,7.71439514125334,0.017920191290434085,0.21493753130009935,0.5942799138087854,0.5665734766992192,0.788963524736833
08,3.0356425162845255,0.4503280675297149,0.8074282718176767,0.74493445909909,0.9559513697324739,0.7387777403467779,0.7811212076618962,0.8733532159735784,0.47635872380975763,0.8570984301548809,14.136014520161947,7.0693594798078045,0.017968240637230806,0.1663308895031734,0.20966138652726715,0.8295725089586665,1.0441330648582388
09,2.273124812452229,0.3187380480660047,0.8058520325716727,0.5138989477525593,0.96237588272537,0.4959309137865399,0.6018195790659949,0.772075146631004,0.24241380411417035,0.6908123902584156,7.832979426852058,7.30047828647937,0.018032822017611968,0.1705228855527804,0.5944196846058071,0.5368487110225214,0.7421085646137638
10,2.1707649996340184,0.3095131616937863,0.8049126720313131,0.5689128311109369,0.9591989331242885,0.42418343181444085,0.5716141066528213,0.808754549538613,0.27834111063852585,0.67512066070107,7.546169587577323,7.1256277866062865,0.022044798662286678,0.1713653078030912,0.621272607741013,0.48174793452291065,0.754747551741561
11,2.6702195558796653,0.37870530094293453,0.8056836398643092,0.4327080276166123,0.9624105396795826,0.42986869238269104,0.44362538110148103,0.5436195875907239,0.2069806767921634,0.6365810040200475,7.624241544903013,7.343195384849375,0.015539968295610324,0.2831318483334701,0.4288972088835535,0.5220779381185702,0.721456125982102
12,3.0024880857832112,0.44867919162636005,0.806282796152425,0.4563965108142099,0.9683894195989275,0.47939347324193976,0.4727682718681532,0.6342027840614134,0.23265607731242444,0.748204214572756,7.242693888957872,7.244554988477282,0.007921411586024678,0.22468228154242292,0.41898438284926603,0.5058657622626223,0.8974815678536279
13,1.7710976449467033,0.26807558258123476,0.8040243062016422,0.5458796243274285,0.9820611243728281,0.2869182715766889,0.6221182185455449,0.6846786808980929,0.5047443206205809,0.9072205542123226,7.728951411663298,6.821741084320237,0.018295020569035196,0.11094169237408304,0.4143748881407135,0.2932707379326303,0.8906566767389604
14,3.5273999121237516,0.49213654952451413,0.8080812216947754,0.535328723413861,0.9730375556827704,0.7738995945025593,0.7216245051342508,0.8073801469202337,0.16252602303894,0.8552626894277603,10.027512697446763,7.339661916904948,0.015345389833496368,0.1696728598501696,0.34257006995506545,0.8044976998742253,1.0866609766728093
15,3.1826546581656174,0.4424922706073211,0.8067793061496978,0.5224367246963918,0.9701360411292601,0.5348264789969857,0.5583927699865386,0.7607382763077294,0.385191846216768,0.7360859121067508,8.631439619194996,7.458357294330802,0.012794292683548451,0.24236286674418087,0.3186056871252411,0.5626730007697842,0.996788144348072
16,2.658919175408844,0.39106693852405205,0.8056249258904097,0.5001839403588304,0.955826657847246,0.2803427302320429,0.589724722096399,0.7903127429961084,0.32645686058832135,0.7638168942125053,7.055821999802729,6.8339806068026885,0.014642932554609698,0.13976873681018237,0.5399555819966586,0.343784885615765,0.7646029305700761
17,3.2523980424756314,0.44781264799339415,0.8071016963611004,0.50306356920884,0.970254999780097,0.5108515760049452,0.5495844533904315,0.6773907408390436,0.33413736303639047,0.7200698219429994,8.517158169536236,7.512338860553996,0.012846906221647952,0.2586426054136661,0.3320197343453511,0.5286538301217856,0.9276960040912285
18,2.2988377197934007,0.3396129047200995,0.8045743893194321,0.5113373001756477,0.9681530800946866,0.4232263779205178,0.5769369838987067,0.7643213163090933,0.35519776072796067,0.7106996931144505,7.854414626419157,6.853627611033831,0.014878215227178204,0.17312557271283577,0.434929285262492,0.4598794566111919,0.74655035292496
19,3.3976175238917534,0.4804736681067285,0.8085630374631785,0.5156146635319976,0.9672543224408364,0.21448437978817836,0.5839177589008258,0.6601053077101368,0.294970478049149,0.7764800568838226,6.148609868045773,7.218323986983091,0.010973062340907534,0.17583423076569205,0.7252585986365874,0.25836141402032536,0.8783635575150124
20,3.0533613414318435,0.42850928822269335,0.8079240249906183,0.46262344220504714,0.9590285040560791,0.34538452104542233,0.5465763604720989,0.6290752459406715,0.1793221662270112,0.7338775438651487,5.986291147633392,7.125155339791053,0.010777046288607735,0.17199934574203127,0.7246622672007872,0.40355842568814837,0.8236154588018126
21,2.058256735381635,0.2820770614796606,0.8047658474610211,0.5806477673117113,0.9572212970129678,0.55699936589999,0.7006697956405598,0.7111499487345848,0.22507693641936025,0.834574146863079,5.145109125167764,7.26795763249175,0.021468432705732406,0.155088236273652,0.5903781201065497,0.5699069917098436,0.6906258302834244
22,3.198497762730419,0.4405987047442172,0.8072192785845219,0.5677211740127303,0.9804865587814973,0.27937003613433403,0.6213569562862569,0.7591240186665601,0.4114351792423026,0.8223245564219996,6.782674996051075,7.329600649429834,0.012329709201689002,0.17338155295776453,0.6745701595333473,0.33787530632799734,1.0254352517093683
23,3.2676116347170368,0.4429771670853606,0.8072855276838051,0.5073083294630946,0.9754322432021418,0.26437583296361084,0.509882739069423,0.6479535347547588,0.3505139682913827,0.7893155727791431,7.639527680998967,7.46414039943947,0.012346048355437662,0.17800882253540382,0.6011432988966197,0.31386333031277525,0.9743259665257109
24,3.154975554492257,0.42746329130333893,0.807319438286169,0.4781739165749588,0.975812887852518,0.3721787859442029,0.5463229374733396,0.6525556462670967,0.18667892523090096,0.754300970444863,6.638812000986478,7.568573483220761,0.012649795640069864,0.19597245294522644,0.6042664417738421,0.3869169749706851,1.0945068194383833
25,3.0157748519408774,0.4018178192113083,0.8071105049873997,0.6346000155181798,0.9794548922417481,0.34468083544810774,0.6198256736635139,0.8398175642185965,0.5465966464437314,0.805060243590543,6.976370239319735,7.643563777459327,0.013525165996983605,0.21416777113077073,0.5720263124604682,0.37078110333047853,1.0208777841685337
26,3.3728953929458747,0.4703212939967969,0.8082488982028024,0.5515520372049303,0.9716660387187405,0.20490127312408457,0.6246639549040451,0.6945117068531964,0.25401858400849897,0.8234695519844222,5.8868694644739055,7.222008805621646,0.011646019488792814,0.16826466347302102,0.726184946236559,0.2585416837014759,0.8987265695895938
27,3.053303280626608,0.42157107826053236,0.8067271566761884,0.49675869617990326,0.9799018031650686,0.2945990787552136,0.5976258731080321,0.6587122164468996,0.270330682545017,0.8254791094435701,6.822996841046352,7.271653949745797,0.012794412907851646,0.16315484809577532,0.6544693934921639,0.32957918471944114,0.9981357160811278
28,3.98141307783399,0.5654912223772661,0.8108136940063967,0.5633579484041665,0.9806169357124627,0.20633933685714864,0.6226291386761663,0.6377022290209852,0.31821048413276865,0.8132561299551195,7.728590445527032,7.187148066359302,0.010277978240078018,0.15582952414089726,0.4323726052428138,0.22740212324863784,1.1685907686424217
29,2.821707364262947,0.4043948911948819,0.8066980129162568,0.35715613625634096,0.9746503104314046,0.13204522515977013,0.4924094231406027,0.44866041171595106,0.1191898974639941,0.7384144630164792,6.256508043264276,7.098911528827156,0.011701648128291844,0.13505693512018896,0.5671906810035842,0.13822165573796735,1.0564649938819417
30,2.07793121220441,0.2978554172375242,0.8041596530202464,0.3590049912374631,0.9403285726475669,0.27081577743757096,0.49622223202415133,0.4200467938569791,0.03338414622502437,0.7171371775960609,4.800807128319056,6.776818028988587,0.019254340117911342,0.10749699517138707,0.6703613192600536,0.320720855545797,0.5857410857849803
31,3.3062444400445443,0.46737768613006647,0.8078098407346221,0.41218376621424224,0.9808480496042162,0.23639798351802183,0.47419999048044414,0.544493286493423,0.23381883336645048,0.6194973032052229,6.758323900546243,7.370623160892087,0.013153823109736583,0.21099113522795002,0.33019183357930987,0.24751261158829085,1.131852344489503
32,3.436055260133953,0.486069242534103,0.8081766090575763,0.6219633889215069,0.9487275520445302,0.6366080804211502,0.6955706619918851,0.8120418350983528,0.43517072646017446,0.7806562317074336,7.612447756174731,7.692169580202964,0.014422441430093358,0.2702043232276571,0.46360461030290245,0.7155783222562428,0.9986213562333355
33,3.525110933103347,0.4802225357313802,0.808058847327299,0.6435800329808631,0.9799351102690791,0.2641320169939937,0.6238371399692195,0.8347012276092339,0.4342140229339891,0.8556917905151019,9.070699212057837,7.4997179223460995,0.008968609852498054,0.18149809460600524,0.5415743383079099,0.3374712631615976,1.1277781378348544
34,1.9519048616755654,0.28316400589371954,0.8038216082996947,0.38075468586369693,0.9795006784690682,0.41226130671488787,0.49129217453811785,0.5386677347946796,0.33160248167161277,0.6821769538980588,3.197071646072608,7.538122939232013,0.017219279730396757,0.17928667765685335,0.5197563543936092,0.6039692651465524,1.265941132865218
35,2.1888438625031554,0.30766520367011196,0.8043346938729201,0.4109268097355265,0.9599508549738284,0.54312183025122,0.46233272843879125,0.583658281644345,0.14353873767251635,0.7236952668473354,8.386429415356506,7.2721896082750535,0.0171499563797678,0.16982329048655326,0.32197889937868146,0.5706755786929569,0.6971227068825963
36,1.782267173770867,0.2708500611589895,0.8034147663613989,0.380940393674789,0.9800565035126217,0.456899726777362,0.508012634653541,0.6137422008200345,0.3665615769458689,0.6905125807224503,5.8606369589957374,7.144139480675942,0.01642837820193548,0.1472549639773007,0.39023497135479707,0.659866689091058,1.057515365094179
37,2.3670096651463837,0.40313666445700513,0.8055063941768837,0.3960916992922928,0.9617959657549191,0.28741343449328444,0.5572538752419377,0.5280309561041474,0.19307080373614968,0.7353952652109758,8.475476880421093,7.16657375279574,0.014351540814575637,0.15234921428063922,0.4775216630921763,0.4362709773366198,1.6021415882176386
38,2.8083377636364766,0.39545369413369047,0.806073062231397,0.5309777887490916,0.9412600722588915,0.46486462344310897,0.6034170632509321,0.6634100905939524,0.2432576831159951,0.7878041762842372,5.136048782657381,7.136886710506554,0.015046395550871356,0.1777290517417535,0.5923205362512483,0.4696121948801526,0.7632374739611428
39,2.5277085351726303,0.34884753482018216,0.8051104609803512,0.5295193523923916,0.9402095349992702,0.31565929274668847,0.5993000758212793,0.6775669486188384,0.2739445271704182,0.7854363145048304,4.476299735668615,7.301183447628784,0.016612768062858628,0.17142604451267962,0.6722993738511028,0.3331623147925977,0.6886856538440104
40,3.150319296195125,0.4435731135046346,0.8103730021021575,0.6439756558605696,0.9588575036779512,0.5123324264556146,0.6376282579260868,0.7910560854857065,0.33108900061686847,0.8575854103526711,6.373079282791926,7.308245834928009,0.017391383505933757,0.23285913059711247,0.6281126245347678,0.5217268197869964,0.8214560317036709
41,3.0918418081644923,0.4401437043259122,0.8070160784374762,0.6023565438925569,0.9590734598260883,0.3937921334020529,0.5928944056344897,0.7410146136338798,0.4195377821271561,0.7591165106239767,7.467891322342163,7.356217494384286,0.019372058915240575,0.2791612682215406,0.47422183136126206,0.4150124067390676,0.6899978266302611
42,2.5000875177377573,0.37755626652897994,0.8064987228352745,0.6087714792608946,0.9386918376297202,0.5162805444424793,0.7183430884830908,0.7747524196713135,0.3690639986831575,0.8465435542676925,13.219687975749824,6.737944749133088,0.010528259956606098,0.1316254699410677,0.3066229263244702,0.606827696329836,0.852781439163804
Average,2.831862513759588,0.4008351231751056,0.8067186425030383,0.5239381114372588,0.9637188619432207,0.4011347103934334,0.5976013312912618,0.6888765675211383,0.2978252186835922,0.7771396139265674,7.186563945637568,7.245683223139346,0.015438131456458762,0.1825847094896334,0.5181226764981971,0.44732312804505725,0.909787779427928
